unix_time;unity_time;delta_time;hmd_pos_global;hmd_pos_forward;left_button_pressed;right_button_pressed;XRI Head/Position;
1695992614426;1,000108;0,0152745;(0.04, 1.31, -0.98);(-0.62, 0.32, 0.72);False;False;(0.04, 1.31, -0.01);
1695992615436;2,002196;0,0152247;(0.02, 1.29, -0.97);(-0.68, 0.16, 0.72);False;False;(0.03, 1.29, 0.01);
1695992616525;3,015999;0,0167141;(0.01, 1.28, -0.98);(-0.75, 0.09, 0.65);False;False;(0.02, 1.28, 0.01);
1695992617562;4,027268;0,0159076;(0.06, 1.29, -0.91);(-0.54, 0.18, 0.82);False;False;(0.11, 1.29, 0.02);
1695992618573;5,039882;0,0146209;(0.05, 1.29, -0.77);(-0.47, 0.51, 0.72);False;False;(0.20, 1.29, 0.13);
1695992619587;6,051764;0,014117;(0.14, 1.32, -0.98);(-0.44, 0.45, 0.77);False;False;(0.11, 1.32, -0.09);
1695992620601;7,065809;0,0160836;(0.09, 1.27, -0.89);(-0.36, 0.16, 0.92);False;False;(0.14, 1.27, 0.02);
1695992621645;8,075146;0,0112347;(0.05, 1.30, -0.97);(-0.60, 0.28, 0.75);False;False;(0.06, 1.30, -0.01);
1695992622655;9,084511;0,0150953;(0.04, 1.27, -0.96);(-0.65, 0.02, 0.76);False;False;(0.06, 1.27, 0.00);
1695992623656;10,0859;0,0107574;(0.04, 1.30, -0.98);(-0.68, 0.27, 0.68);False;False;(0.05, 1.30, -0.01);
1695992624657;11,08644;0,0096729;(0.03, 1.31, -1.01);(-0.76, 0.28, 0.59);False;False;(0.02, 1.31, -0.03);
1695992625666;12,09678;0,0111335;(0.02, 1.30, -0.99);(-0.81, 0.18, 0.55);False;False;(0.02, 1.30, -0.01);
1695992626676;13,10582;0,0118711;(0.01, 1.27, -0.99);(-0.85, 0.04, 0.53);False;False;(0.01, 1.27, 0.00);
1695992627699;14,12791;0,0221431;(0.00, 1.28, -1.00);(-0.86, 0.09, 0.50);False;False;(0.00, 1.28, 0.00);
1695992628708;15,13822;0,0107937;(0.02, 1.28, -0.98);(-0.74, 0.07, 0.66);False;False;(0.03, 1.28, 0.00);
1695992629708;16,1387;0,0111288;(0.03, 1.25, -0.95);(-0.61, -0.11, 0.78);False;False;(0.06, 1.25, 0.02);
1695992630730;17,15994;0,0220427;(0.04, 1.24, -0.98);(-0.69, -0.24, 0.68);False;False;(0.04, 1.24, -0.02);
1695992631752;18,18134;0,0219569;(-1.58, 1.25, 0.06);(-0.85, -0.24, 0.46);False;False;(0.01, 1.25, -0.02);
1695992632752;19,18163;0,0111592;(-1.58, 1.22, 0.06);(-0.84, -0.46, 0.28);False;False;(0.01, 1.22, -0.02);
1695992633753;20,18218;0,0115236;(-1.57, 1.25, 0.06);(-0.94, -0.20, 0.26);False;False;(0.02, 1.25, -0.03);
1695992634763;21,19334;0,0113121;(-1.56, 1.25, 0.06);(-0.94, -0.18, 0.29);False;False;(0.03, 1.25, -0.03);
1695992635774;22,20407;0,0113587;(-1.56, 1.25, 0.06);(-0.93, -0.21, 0.30);False;False;(0.03, 1.25, -0.04);
1695992636775;23,20436;0,0111873;(-1.54, 1.24, 0.09);(-0.74, -0.29, 0.61);False;False;(0.06, 1.24, -0.03);
1695992637829;24,24937;0,1;(-1.54, 1.24, 0.10);(0.12, -0.30, 0.95);False;False;(0.07, 1.24, -0.03);
1695992638985;25,25447;0,0115831;(-1.56, 1.24, 0.09);(-0.11, -0.36, 0.93);False;False;(0.04, 1.24, -0.03);
1695992639985;26,25454;0,011675;(-1.57, 1.25, 0.08);(-0.24, -0.24, 0.94);False;False;(0.04, 1.25, -0.04);
1695992640996;27,26451;0,0109329;(-1.53, 1.27, 0.05);(-0.05, 0.01, 1.00);False;False;(0.07, 1.27, -0.08);
1695992641998;28,26645;0,0107415;(-1.06, 1.21, 0.76);(0.21, -0.55, 0.81);False;False;(0.09, 1.21, -0.03);
1695992643006;29,27571;0,0113142;(-1.06, 1.23, 0.75);(0.23, -0.42, 0.88);False;False;(0.08, 1.23, -0.04);
1695992644007;30,27573;0,022555;(-1.11, 1.26, 0.74);(-0.05, -0.19, 0.98);False;False;(0.04, 1.25, -0.04);
1695992645006;31,27584;0,0109846;(-1.07, 1.23, 0.74);(0.28, -0.43, 0.86);False;False;(0.07, 1.23, -0.05);
1695992646006;32,27613;0,0103774;(-1.07, 1.23, 0.74);(0.32, -0.39, 0.86);False;True;(0.07, 1.23, -0.04);
1695992647018;33,28656;0,02237;(-1.07, 1.23, 0.75);(0.25, -0.40, 0.88);False;False;(0.07, 1.23, -0.04);
1695992648029;34,29797;0,0119639;(-1.08, 1.23, 0.75);(0.17, -0.38, 0.91);False;False;(0.07, 1.23, -0.04);
1695992649041;35,30893;0,0112947;(-1.08, 1.23, 0.75);(0.19, -0.40, 0.90);False;False;(0.06, 1.23, -0.04);
1695992650042;36,31049;0,0105309;(-1.13, 1.23, 0.73);(-0.36, -0.40, 0.84);False;False;(0.01, 1.23, -0.05);
1695992651055;37,32246;0,0139602;(-1.07, 1.23, 0.74);(0.23, -0.41, 0.88);False;True;(0.08, 1.23, -0.04);
1695992652062;38,33016;0,0102381;(-1.19, 1.21, 0.69);(-0.77, -0.50, 0.40);False;False;(-0.05, 1.21, -0.07);
1695992653062;39,33065;0,0117118;(-1.96, 1.24, 0.82);(-0.67, -0.37, 0.64);False;False;(0.02, 1.24, -0.06);
1695992654072;40,34098;0,011072;(-1.96, 1.26, 0.81);(-0.72, -0.19, 0.66);True;False;(0.01, 1.26, -0.06);
1695992655083;41,35228;0,0120322;(-1.96, 1.25, 0.82);(-0.70, -0.25, 0.67);False;False;(0.02, 1.25, -0.06);
1695992656095;42,36341;0,0111837;(-1.97, 1.25, 0.82);(-0.71, -0.27, 0.65);False;False;(0.01, 1.25, -0.06);
1695992657105;43,3746;0,0118986;(-1.97, 1.25, 0.81);(-0.71, -0.29, 0.64);True;False;(0.01, 1.25, -0.06);
1695992658117;44,38551;0,0115162;(-1.97, 1.25, 0.81);(-0.71, -0.31, 0.63);False;False;(0.01, 1.24, -0.06);
1695992659127;45,39627;0,0108478;(-1.97, 1.25, 0.81);(-0.71, -0.28, 0.65);False;False;(0.01, 1.25, -0.06);
1695992660139;46,40718;0,0112667;(-1.95, 1.25, 0.83);(-0.66, -0.25, 0.71);False;False;(0.04, 1.25, -0.06);
1695992661139;47,4076;0,0118385;(-1.96, 1.23, 0.87);(-0.61, -0.35, 0.71);False;False;(0.05, 1.23, -0.02);
1695992662149;48,4184;0,0115579;(-1.97, 1.31, 0.86);(-0.59, 0.37, 0.72);False;False;(0.04, 1.31, -0.02);
